Politechnika Warszawska;86.5;9.5;217.7240776286981;23589.367942212717;272.70945597933775
Politechnika Poznańska;56.0;2.0;164.31105484492358;15849.23339364398;283.02202488649965
Uniwersytet Wrocławski;4.0;1.0;11.788675134594813;1175.207259421637;293.80181485540925
Uniwersytet Warszawski;8.5;0;21.603022689155527;2812.211588240887;330.8484221459867
Politechnika Wrocławska;2.0;1.0;6.0;680.0;340.0
Uniwersytet im. Adama Mickiewicza w Poznaniu;34.0;2.5;90.22107814393452;10367.953644678588;304.939813078782
Uniwersytet Mikołaja Kopernika w Toruniu;4.0;0.5;8.0;820.0;205.0
Uniwersytet Jagielloński w Krakowie;1.5;0.5;4.0;480.0;320.0
Uniwersytet Pedagogiczny im. Komisji Edukacji Narodowej w Krakowie;26.666666666666668;2.333333333333333;60.169285741623945;6591.166334007614;247.1687375252855
Politechnika Gdańska;40.0;1.0;119.17363125598817;14920.789705882087;373.01974264705217
Uniwersytet Rzeszowski;15.5;0.5;46.48867481003797;5152.267965673755;332.40438488217774
Uniwersytet Warmińsko-Mazurski w Olsztynie;8.5;1.0;17.06456969939147;1616.72343165648;190.20275666546823
Politechnika Łódzka;79.5;8.0;213.9069310085179;23373.78208089786;294.0098374955706
Uniwersytet Zielonogórski;2.0;0;5.485598559653489;663.9918991757442;331.9959495878721
Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie;288.8333333333333;27.0;805.9017557727936;79804.66846870433;276.300063942427
Uniwersytet Śląski w Katowicach;55.0;2.0;152.56359449983682;16569.95830547922;301.27196919053125
Politechnika Śląska;158.66666666666666;17.333333333333332;419.75850128400725;40266.280470577854;253.77907859607893
Uniwersytet Rolniczy im. Hugona Kołłątaja w Krakowie;1.0;0;2.410629484397706;168.7440639078394;168.7440639078394
Uniwersytet Jana Kochanowskiego w Kielcach;1.5;0;3.6547005383792515;315.8290376865476;210.55269179103175
Politechnika Rzeszowska im. Ignacego Łukasiewicza;30.0;2.5;89.81887114614858;9671.822449825895;322.39408166086315
Uniwersytet Kazimierza Wielkiego w Bydgoszczy;16.5;4.0;49.49619131452579;4333.974774841179;262.6651378691624
Politechnika Krakowska im. Tadeusza Kościuszki;39.5;2.5;107.55882427918775;11383.367879965705;288.1865286067267
Politechnika Lubelska;6.5;1.5;19.239392227481282;2086.4545112162923;320.99300172558344
Uniwersytet Opolski;1.8333333333333333;0;5.0;630.0;343.6363636363636
Uniwersytet Przyrodniczo-Humanistyczny w Siedlcach;0.5;0;1.3779644730092273;37.559289460184544;75.11857892036909
Politechnika Częstochowska;56.00000000000001;7.0;160.66896501690871;17986.588967944364;321.18908871329216
Wojskowa Akademia Techniczna im. Jarosława Dąbrowskiego;66.16666666666666;5.0;153.51598351986135;14216.058878829168;214.85227524678845
Katolicki Uniwersytet Lubelski Jana Pawła II w Lublinie;8.5;3.0;18.308476308810494;1729.971041622214;203.52600489673105
Uniwersytet Ekonomiczny w Krakowie;0.5;1.0;1.0;140.0;280.0
