Politechnika Warszawska;130.1666666666667;183.50000000000003;274.72505175983446;30945.03105590064;237.73391336159253
Politechnika Poznańska;60.49999999999997;97.33333333333334;134.29999999999993;13420.166666666673;221.82093663911868
Uniwersytet Warszawski;1.0;0;2.0;200.0;200.0
Politechnika Wrocławska;125.0;172.0;219.5059523809523;20454.642857142844;163.63714285714275
Uniwersytet Mikołaja Kopernika w Toruniu;5.5;15.5;12.0;1160.0;210.9090909090909
Politechnika Gdańska;52.666666666666686;109.0;128.11666666666662;14685.333333333328;278.83544303797447
Uniwersytet Rzeszowski;5.5;1.5;16.333333333333332;2055.833333333333;373.78787878787875
Uniwersytet Warmińsko-Mazurski w Olsztynie;22.500000000000007;36.33333333333333;51.666666666666686;5166.666666666668;229.62962962962962
Politechnika Łódzka;69.0;56.5;149.0666666666666;14444.16666666666;209.33574879227044
Uniwersytet Zielonogórski;11.5;6.0;34.5;4235.0;368.2608695652174
Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie;119.83333333333344;97.49999999999999;284.9880952380951;29422.416666666668;245.5278164116827
Uniwersytet Marii Curie-Skłodowskiej w Lublinie;2.0;1.5;4.0;400.0;200.0
Politechnika Śląska;38.666666666666615;86.33333333333333;96.26666666666664;8817.0;228.02586206896584
Uniwersytet Rolniczy im. Hugona Kołłątaja w Krakowie;8.333333333333325;19.333333333333336;19.96666666666666;2615.0;313.8000000000003
Uniwersytet Szczeciński;1.0;1.0;2.0;280.0;280.0
Uniwersytet Kardynała Stefana Wyszyńskiego w Warszawie;1.5;0;4.0;680.0;453.3333333333333
Uniwersytet Jana Kochanowskiego w Kielcach;2.0;1.0;4.0;399.99999999999994;199.99999999999997
Politechnika Rzeszowska im. Ignacego Łukasiewicza;87.16666666666677;131.99999999999997;181.55595238095228;16545.749999999993;189.81739961759052
Uniwersytet Kazimierza Wielkiego w Bydgoszczy;9.0;7.0;25.0;2557.5;284.1666666666667
Politechnika Krakowska im. Tadeusza Kościuszki;41.5;77.0;91.14285714285718;9742.559523809517;234.7604704532414
Politechnika Lubelska;75.83333333333334;59.166666666666664;194.4333333333336;21841.000000000022;288.0131868131871
Politechnika Częstochowska;36.666666666666686;36.33333333333333;101.94999999999995;10073.250000000005;274.725
Wojskowa Akademia Techniczna im. Jarosława Dąbrowskiego;67.83333333333336;121.33333333333333;113.48333333333333;10788.916666666668;159.05036855036852
